,date_run,songTitle,authorName,private,duration,album,scheduleSearchTime,numTimesUsed,artist_id,uniqueId,nickname,createTime,verified,secUid,relation,openFavorite,commentSetting,duetSetting,stitchSetting,privateAccount
6922356027585268486,05/04/21,Renai Circulation (English Cover) [TV Size],Lizz Robinett,False,35,Renai Circulation (English Cover) [TV Size],0,4800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6873877257572666118,05/04/21,Money Mouf x 3 Musketeers,carneyval,False,24,,0,2303,6618575249679122438,carneyval,carneyval,1554224860,True,MS4wLjABAAAA1YcvZ98cdKd0Zi3Q1jBAInbxmL95tbRzwCiDqxdmDYcB2fxr72Fmb-zRW6SGiVQc,0,False,0,0,0,False
6808589859721054216,05/04/21,Tell Me Why I'm Waiting,Timmies/Nineteen95,False,123,,0,139700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222566638104154112,05/04/21,PONPONPON,Kyary Pamyu Pamyu,False,30,KPP BEST,0,130600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6751361876996770566,05/04/21,American Boy but Shibuya is there too,goalsounds ,False,13,,0,1900000,167408911589740544,goalsounds,goalsounds ,1480284962,False,MS4wLjABAAAABdGTTgp5k1jg3bndpDSvP7502s3Wq1ScvdieuciHmxtD1B3F79DLuhg7T3DiSXY-,0,False,0,0,0,False
6879511729882008321,05/04/21,sonido original,maximo lenis,False,8,,0,258600,6695387247971484677,maximo...lenis,maximo lenis,1563939396,False,MS4wLjABAAAACXKXjdvYBWHl4ktoftIQFQXS8jT9_cUsqRBr2QC8w479eS1UXG-Y5oEpsUqKhKPa,0,False,0,0,0,False
6938059742434675457,05/04/21,Ябуре кабуре,🛐Поклоняюсь Танаке🛐,False,12,,0,263800,6913855419903853570,midokugo,🛐Поклоняюсь Танаке🛐,1609757595,False,MS4wLjABAAAA5Rakin_kXO0oBYYbOmmLm1E8ul1yOepbnpvEIBaug5wN5muTowINerwm7eJnsXpE,0,False,0,0,0,False
6849765908194265089,05/04/21,I See Red,Everybody Loves An Outlaw,False,15,I See Red,0,62100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6838059590286837761,05/04/21,The Chicken Wing Beat,desktop,False,60,The Chicken Wing Beat,0,5200000,6726613067742970885,desktopgoated,desktop,1566161994,True,MS4wLjABAAAAAyKFTTeyufTnYBPXu3R_cqDf9BBkyL4T-CyAbWroufoaNUuPbE7s_M5B8QUo2r23,0,False,0,0,0,False
6957273826925300485,05/04/21,Originalton,YZ,False,15,,0,476,6717651461067604997,youneszarou,YZ,1564046472,True,MS4wLjABAAAALP9H8t1_SVmfuAKXV1o9K8XqiaFLxm2ae-EJ5_AJcwogcI_d9btuf_fjbjFOMNpN,0,False,0,0,0,False
